score,name,id
9.6,肖申克的救赎,1
9.6,霸王别姬,2
9.4,这个杀手不太冷,3
9.4,阿甘正传,4
9.5,美丽人生,5
9.3,泰坦尼克号,6
9.3,千与千寻,7
9.5,辛德勒的名单,8
9.3,盗梦空间,9
9.3,忠犬八公的故事,10
9.3,机器人总动员,11
9.2,三傻大闹宝莱坞,12
9.2,海上钢琴师,13
9.3,放牛班的春天,14
9.2,楚门的世界,15
9.2,大话西游之大圣娶亲,16
9.2,星际穿越,17
9.2,龙猫,18
9.3,教父,19
9.3,熔炉,20
9.1,无间道,21
9.2,疯狂动物城,22
9.0,当幸福来敲门,23
9.0,怦然心动,24
9.2,触不可及,25
9.1,蝙蝠侠：黑暗骑士,26
9.2,乱世佳人,27
9.2,活着,28
9.0,少年派的奇幻漂流,29
9.6,控方证人,30
9.2,天堂电影院,31
9.2,指环王3：王者无敌,32
9.2,鬼子来了,33
9.4,十二怒汉,34
9.1,天空之城,35
9.0,摔跤吧！爸爸,36
9.0,飞屋环游记,37
9.0,大话西游之月光宝盒,38
9.0,搏击俱乐部,39
9.0,哈尔的移动城堡,40
9.0,罗马假日,41
9.0,闻香识女人,42
9.2,辩护人,43
9.1,窃听风暴,44
9.1,末代皇帝,45
9.1,两杆大烟枪,46
9.1,飞越疯人院,47
9.0,死亡诗社,48
9.0,寻梦环游记,49
9.2,素媛,50
9.0,指环王2：双塔奇兵,51
9.2,教父2,52
8.9,V字仇杀队,53
9.0,指环王1：魔戒再现,54
9.0,狮子王,55
9.1,饮食男女,56
9.3,海豚湾,57
9.0,美丽心灵,58
8.9,情书,59
9.1,钢琴家,60
8.8,本杰明·巴顿奇事,61
8.8,看不见的客人,62
9.1,美国往事,63
8.9,黑客帝国,64
8.8,西西里的美丽传说,65
9.2,小鞋子,66
8.9,哈利·波特与魔法石,67
9.3,大闹天宫,68
9.0,拯救大兵瑞恩,69
8.8,让子弹飞,70
8.8,致命魔术,71
8.8,七宗罪,72
9.0,音乐之声,73
8.9,被嫌弃的松子的一生,74
8.8,低俗小说,75
8.9,猫鼠游戏,76
8.8,沉默的羔羊,77
8.7,天使爱美丽,78
8.9,勇敢的心,79
8.7,蝴蝶效应,80
8.7,剪刀手爱德华,81
8.9,春光乍泄,82
8.8,心灵捕手,83
8.7,禁闭岛,84
8.8,布达佩斯大饭店,85
9.0,穿条纹睡衣的男孩,86
8.8,入殓师,87
8.7,阿凡达,88
8.8,幽灵公主,89
8.8,阳光灿烂的日子,90
8.7,致命ID,91
8.7,加勒比海盗,92
8.8,第六感,93
8.7,断背山,94
9.1,狩猎,95
8.7,重庆森林,96
9.2,摩登时代,97
8.9,玛丽和马克思,98
8.7,喜剧之王,99
8.7,告白,100
8.7,消失的爱人,101
8.8,大鱼,102
9.0,一一,103
8.7,射雕英雄传之东成西就,104
8.8,阳光姐妹淘,105
8.8,爱在黎明破晓前,106
8.8,甜蜜蜜,107
9.0,小森林 夏秋篇,108
8.8,请以你的名字呼唤我,109
8.8,侧耳倾听,110
8.7,驯龙高手,111
8.9,红辣椒,112
8.7,倩女幽魂,113
8.7,恐怖直播,114
8.8,风之谷,115
8.8,超脱,116
8.8,爱在日落黄昏时,117
8.9,上帝之城,118
8.8,菊次郎的夏天,119
8.7,幸福终点站,120
8.7,哈利·波特与死亡圣器(下),121
9.0,小森林 冬春篇,122
8.8,7号房的礼物,123
8.7,杀人回忆,124
8.7,借东西的小人阿莉埃蒂,125
8.5,神偷奶爸,126
8.7,蝙蝠侠：黑暗骑士崛起,127
8.8,萤火之森,128
8.5,唐伯虎点秋香,129
8.6,超能陆战队,130
8.6,怪兽电力公司,131
8.7,岁月神偷,132
8.7,电锯惊魂,133
9.1,无人知晓,134
9.2,七武士,135
8.8,谍影重重3,136
8.6,真爱至上,137
8.7,疯狂原始人,138
8.9,喜宴,139
8.6,英雄本色,140
8.6,东邪西毒,141
8.7,萤火虫之墓,142
8.5,贫民窟的百万富翁,143
8.7,血战钢锯岭,144
8.5,黑天鹅,145
8.6,记忆碎片,146
8.5,傲慢与偏见,147
8.7,时空恋旅人,148
8.7,心迷宫,149
8.8,纵横四海,150
8.8,荒蛮故事,151
8.7,雨人,152
8.8,教父3,153
8.7,达拉斯买家俱乐部,154
9.1,完美的世界,155
8.8,玩具总动员3,156
8.6,花样年华,157
8.9,卢旺达饭店,158
8.6,海边的曼彻斯特,159
8.6,被解救的姜戈,160
8.5,恋恋笔记本,161
8.8,你看起来好像很好吃,162
8.7,三块广告牌,163
9.0,海洋,164
8.9,虎口脱险,165
8.7,头脑特工队,166
8.7,二十二,167
8.4,你的名字。,168
8.7,无敌破坏王,169
8.5,冰川时代,170
9.0,雨中曲,171
8.9,我是山姆,172
8.8,燃情岁月,173
8.6,爆裂鼓手,174
8.6,人工智能,175
8.9,未麻的部屋,176
8.6,穿越时空的少女,177
8.6,模仿游戏,178
8.8,一个叫欧维的男人决定去死,179
8.8,魂断蓝桥,180
8.8,房间,181
8.5,猜火车,182
9.1,忠犬八公物语,183
8.6,魔女宅急便,184
8.4,恐怖游轮,185
8.7,罗生门,186
8.5,完美陌生人,187
8.5,阿飞正传,188
8.9,哪吒闹海,189
8.5,香水,190
8.6,黑客帝国3：矩阵革命,191
8.7,海街日记,192
8.5,朗读者,193
8.7,浪潮,194
8.7,可可西里,195
8.6,谍影重重2,196
8.5,谍影重重,197
8.8,牯岭街少年杀人事件,198
8.6,战争之王,199
8.9,地球上的星星,200
9.1,天书奇谭,201
8.9,惊魂记,202
8.5,青蛇,203
8.4,疯狂的石头,204
9.1,海蒂和爷爷,205
8.7,一次别离,206
8.6,终结者2：审判日,207
8.3,初恋这件小事,208
8.4,源代码,209
8.9,追随,210
8.8,步履不停,211
8.5,小萝莉的猴神大叔,212
8.5,新龙门客栈,213
8.5,再次出发之纽约遇见你,214
8.8,爱在午夜降临前,215
8.6,撞车,216
8.7,梦之安魂曲,217
8.5,无耻混蛋,218
9.3,城市之光,219
9.2,东京物语,220
8.5,彗星来的那一夜,221
8.7,绿里奇迹,222
8.6,血钻,223
8.7,2001太空漫游,224
8.3,功夫,225
8.5,这个男人来自地球,226
8.5,E.T. 外星人,227
8.8,聚焦,228
8.7,末路狂花,229
8.6,奇迹男孩,230
8.4,变脸,231
8.5,发条橙,232
8.6,勇闯夺命岛,233
8.6,黑鹰坠落,234
9.1,黄金三镖客,235
8.3,秒速5厘米,236
8.6,疯狂的麦克斯4：狂暴之路,237
8.6,非常嫌疑犯,238
9.0,我爱你,239
8.4,国王的演讲,240
8.6,卡萨布兰卡,241
8.7,千钧一发,242
8.6,遗愿清单,243
8.5,美国丽人,244
8.3,驴得水,245
8.9,四个春天,246
8.7,新世界,247
8.5,荒岛余生,248
8.4,釜山行,249
8.7,枪火,250
